region,capacity_mw,id
p127,4667.7,p127
p132,115.5,p132
p85,953.7,p85
p75,90.8,p75
p21,63.2,p21
p99,649.5,p99
p104,16.6,p104
p90,1749.5,p90
p40,279.9,p40
p51,448.3,p51
p129,328.8,p129
p74,133.9,p74
p53,7.0,p53
p68,7.1,p68
p14,363.7,p14
p64,311.5,p64
p31,81.5,p31
p42,0.5,p42
p96,916.5,p96
p19,179.7,p19
p115,128.4,p115
p43,191.6,p43
p2,3760.5,p2
p17,1798.9,p17
p94,1956.7,p94
p80,33.5,p80
p28,1543.8,p28
p81,3.6,p81
p107,77.7,p107
p24,240.2,p24
p112,126.4,p112
p71,27.0,p71
p34,381.0,p34
p109,317.4,p109
p46,287.4,p46
p4,13335.2,p4
p95,432.5,p95
p98,502.1,p98
p122,817.2,p122
p103,212.0,p103
p92,2504.4,p92
p101,43.5,p101
p105,27.3,p105
p123,530.8,p123
p61,66.0,p61
p134,679.5,p134
p9,8659.4,p9
p116,209.1,p116
p93,694.5,p93
p97,1383.1,p97
p65,41.1,p65
p36,583.4,p36
p100,3.0,p100
p5,7831.4,p5
p131,269.5,p131
p26,183.8,p26
p10,1159.9,p10
p18,681.2,p18
p8,75.0,p8
p118,166.9,p118
p11,8.7,p11
p7,203.1,p7
p58,192.0,p58
p89,1568.8,p89
p84,3.0,p84
p55,268.0,p55
p1,2177.1,p1
p16,604.2,p16
p6,418.1,p6
p76,78.6,p76
p130,516.3,p130
p12,12.8,p12
p44,1.0,p44
p50,376.0,p50
p38,1644.4,p38
p77,43.1,p77
p66,167.7,p66
p15,1724.8,p15
p33,289.8,p33
p3,2018.6,p3
p70,184.4,p70
p114,2.2,p114
p27,1294.2,p27
p133,2.8,p133
p126,14.7,p126
p25,80.9,p25
p56,367.2,p56
p63,148.9,p63
p13,1039.4,p13
p39,50.0,p39
p121,20.0,p121
p72,208.0,p72
p117,53.3,p117
