start_region,dest_region,interconnect_cost_mw,interconnect_annuity_mw,line_loss_frac,start_id,dest_id,dollar_year,mw-km_per_mw,start_intraregion_cost_mw,dest_intraregion_cost_mw,start_intraregion_loss_frac,dest_intraregion_loss_frac,start_mw-km_per_mw,dest_mw-km_per_mw,total_interconnect_cost_mw,total_line_loss_frac,total_mw-km_per_mw,total_interconnect_annuity_mw
DE1,NJ1,886737.228915686,42202.92889633338,0.0188892192687988,132619,128238,2018,251.22819302630515,,,,,,,886737.228915686,0.0188892192687988,251.22819302630515,42202.92889633338
IL1,MISC,324265.9895345166,15432.953589372304,0.0197757496236165,153373,153604,2018,264.7452870591092,,605684.8980603315,,0.033403171958597155,,446.58163604282515,929950.887594848,0.053178921582213656,711.3269231019344,44259.61818952702
IL1,MISC,324265.9895345166,15432.953589372304,0.0197757496236165,153373,153604,2018,264.7452870591092,,605684.8980603315,,0.033403171958597155,,446.58163604282515,929950.887594848,0.053178921582213656,711.3269231019344,44259.61818952702
KY3,KY4,591872.1838086499,28169.269175196743,0.023736884379069,125223,121517,2018,315.93077664069085,,,,,,,591872.1838086499,0.023736884379069,315.93077664069085,28169.269175196743
KY3,OH2,454340.09404876706,21623.63556940126,0.022104193250868,125223,113602,2018,294.8481941299538,,,,,,,454340.09404876706,0.022104193250868,294.8481941299538,21623.63556940126
KY3,OH3,398542.0590650415,18968.011754155763,0.0190767048305935,130652,153929,2018,254.8964635157082,,,,,,,398542.0590650415,0.0190767048305935,254.8964635157082,18968.011754155763
KY3,OH4,422831.2247323731,20124.01817655796,0.0220627153523763,155027,113595,2018,293.77892496505376,,,,,,,422831.2247323731,0.0220627153523763,293.77892496505376,20124.01817655796
KY3,VA1,715530.4033059767,34054.596727389864,0.0357172457885742,150926,129148,2018,620.5230151575802,,,,,,,715530.4033059767,0.0357172457885742,620.5230151575802,34054.596727389864
KY4,OH2,507756.79304022464,24165.92326850911,0.0242362914733886,121517,113602,2018,323.01704226600106,,,,,,,507756.79304022464,0.0242362914733886,323.01704226600106,24165.92326850911
KY4,VA1,520797.61016185064,24786.58140689251,0.0208565753784179,121517,150926,2018,277.29406456078834,,,,,,,520797.61016185064,0.0208565753784179,277.29406456078834,24786.58140689251
KY4,WV2,530070.9887966919,25227.9339591402,0.0578598543802897,153992,121517,2018,165.77644541474496,,,,,,,530070.9887966919,0.0578598543802897,165.77644541474496,25227.933959140202
MD1,MD2,188649.444635376,8978.487469185266,0.0144442487398783,122896,122882,2018,41.56525663149259,,136004.83130941162,,0.0039893724,,11.535533905932738,324654.27594478766,0.0184336211398783,53.100790537425326,15451.433498898738
MD1,PA4,671530.2942283936,31960.47750663398,0.0524221085866292,122879,146541,2018,150.48034823163553,,,,,,,671530.2942283936,0.0524221085866292,150.48034823163553,31960.47750663398
MD2,VA4,550611.7081318506,26205.53869852988,0.0244021689385308,161307,121578,2018,324.19646307581525,136004.83130941162,,0.0039893724,,11.535533905932738,,686616.5394412621,0.0283915413385308,335.731996981748,32678.484728243344
MI,MISC,437727.688078689,20832.993014774864,0.0259978848978678,153280,143992,2018,347.81607795588053,348752.28839641117,605684.8980603315,0.019519746,0.033403171958597155,196.009942165989,446.58163604282515,1392164.8745354316,0.07892080285646495,990.4076561646947,66257.99988553111
MI,MISC,437727.688078689,20832.993014774864,0.0259978848978678,153280,143992,2018,347.81607795588053,348752.28839641117,605684.8980603315,0.019519746,0.033403171958597155,196.009942165989,446.58163604282515,1392164.8745354316,0.07892080285646495,990.4076561646947,66257.99988553111
MI,OH1,460408.48385581054,21912.451483733697,0.0189901336534288,113607,143992,2018,253.88040279280216,348752.28839641117,,0.019519746,,196.009942165989,,809160.7722522217,0.0385098796534288,449.89034495879116,38510.79375433522
MISC,OH2,324646.5331976685,15451.064994458551,0.018967389066908,152466,124011,2018,254.04971218575284,605684.8980603315,,0.033403171958597155,,446.58163604282515,,930331.431258,0.052370561025505157,700.631348228578,44277.72959461327
MISC,OH4,385953.9370237427,18368.898959380105,0.051628099822998,124011,113595,2018,148.5536953721569,605684.8980603315,,0.033403171958597155,,446.58163604282515,,991638.8350840742,0.08503127178159516,595.135331414982,47195.56355953483
MISC,SERC,492761.9718059448,23452.26723408573,0.0276643908657497,115381,117709,2018,369.1840263956156,605684.8980603315,455774.6762901439,0.033403171958597155,0.020367611040142942,446.58163604282515,255.5852163460901,1554221.5461564201,0.0814351738644898,1071.350878784531,73970.84419450433
MISC,SERC,492761.9718059448,23452.26723408573,0.0276643908657497,115381,117709,2018,369.1840263956156,605684.8980603315,455774.6762901439,0.033403171958597155,0.020367611040142942,446.58163604282515,255.5852163460901,1554221.5461564201,0.0814351738644898,1071.350878784531,73970.84419450433
NJ1,NY1,22305.20544581032,1061.5828102748433,0.0003816455557942,129920,132612,2018,1.103553390593274,,559599.749967881,,0.031161251202845786,,287.8924740404343,581904.9554136914,0.031542896758639985,288.9960274310276,27694.893883927736
NY1,NY2,950000.4908794556,45213.848996836954,0.0112529262224833,134777,140991,2018,32.280526991345496,559599.749967881,,0.031161251202845786,,287.8924740404343,,1509600.2408473366,0.04241417742532909,320.1730010317798,71847.16007048984
OH1,OH2,397817.471008606,18933.52607200811,0.053438627243042,151647,113152,2018,153.87904907674698,,,,,,,397817.471008606,0.053438627243042,153.87904907674698,18933.52607200811
OH1,PA1,433409.4612231141,20627.47348204146,0.0450373352686564,150617,152322,2018,128.98999312426815,,,,,,,433409.4612231141,0.0450373352686564,128.98999312426815,20627.47348204146
