region,planning_year,reserve_margin
p108,2043,0.097
p108,2044,0.097
p108,2045,0.097
p108,2046,0.097
p108,2047,0.097
p108,2048,0.097
p108,2049,0.097
p108,2050,0.097
p109,2025,0.177
p109,2026,0.177
p109,2027,0.176
p109,2028,0.176
p109,2029,0.176
p109,2030,0.176
p109,2031,0.176
p109,2032,0.176
p109,2033,0.176
p109,2034,0.176
p109,2035,0.176
p109,2036,0.176
p109,2037,0.176
p109,2038,0.176
p109,2039,0.176
p109,2040,0.176
p109,2041,0.176
p109,2042,0.176
p109,2043,0.176
p109,2044,0.176
p109,2045,0.176
p109,2046,0.176
p109,2047,0.176
p109,2048,0.176
p109,2049,0.176
p109,2050,0.176
p11,2025,0.174
p11,2026,0.174
p11,2027,0.164
p11,2028,0.174
p11,2029,0.166
p11,2030,0.164
p11,2031,0.161
p11,2032,0.163
p11,2033,0.149
p11,2034,0.153
p11,2035,0.153
p11,2036,0.153
p11,2037,0.153
p11,2038,0.153
p11,2039,0.153
p11,2040,0.153
p11,2041,0.153
p11,2042,0.153
p11,2043,0.153
p11,2044,0.153
p11,2045,0.153
p11,2046,0.153
p11,2047,0.153
p11,2048,0.153
p11,2049,0.153
p11,2050,0.153
p110,2025,0.177
p110,2026,0.177
p110,2027,0.176
p110,2028,0.176
p110,2029,0.176
p110,2030,0.176
p110,2031,0.176
p110,2032,0.176
p110,2033,0.176
p110,2034,0.176
p110,2035,0.176
p110,2036,0.176
p110,2037,0.176
p110,2038,0.176
p110,2039,0.176
p110,2040,0.176
p110,2041,0.176
p110,2042,0.176
p110,2043,0.176
p110,2044,0.176
p110,2045,0.176
p110,2046,0.176
p110,2047,0.176
p110,2048,0.176
p110,2049,0.176
p110,2050,0.176
p111,2025,0.177
p111,2026,0.177
p111,2027,0.176
p111,2028,0.176
p111,2029,0.176
p111,2030,0.176
p111,2031,0.176
p111,2032,0.176
p111,2033,0.176
p111,2034,0.176
p111,2035,0.176
p111,2036,0.176
p111,2037,0.176
p111,2038,0.176
p111,2039,0.176
