technology,tech_detail,cost_case,basis_year,heat_rate,data_year
Biopower,Dedicated,Moderate,2050,13.5,2023
Biopower,Dedicated,Moderate,2049,13.5,2023
Biopower,Dedicated,Advanced,2048,13.5,2023
Biopower,Dedicated,Moderate,2048,13.5,2023
Biopower,Dedicated,Advanced,2049,13.5,2023
Biopower,Dedicated,Conservative,2036,13.5,2023
Biopower,Dedicated,Moderate,2032,13.5,2023
Biopower,Dedicated,Moderate,2043,13.5,2023
Biopower,Dedicated,Moderate,2042,13.5,2023
Biopower,Dedicated,Moderate,2035,13.5,2023
Biopower,Dedicated,Moderate,2041,13.5,2023
Biopower,Dedicated,Moderate,2040,13.5,2023
Biopower,Dedicated,Advanced,2027,13.5,2023
Biopower,Dedicated,Moderate,2039,13.5,2023
Biopower,Dedicated,Moderate,2038,13.5,2023
Biopower,Dedicated,Moderate,2037,13.5,2023
Biopower,Dedicated,Moderate,2021,13.5,2023
Biopower,Dedicated,Moderate,2022,13.5,2023
Biopower,Dedicated,Moderate,2023,13.5,2023
Biopower,Dedicated,Moderate,2036,13.5,2023
Biopower,Dedicated,Moderate,2024,13.5,2023
Biopower,Dedicated,Moderate,2034,13.5,2023
Biopower,Dedicated,Moderate,2025,13.5,2023
Biopower,Dedicated,Moderate,2026,13.5,2023
Biopower,Dedicated,Moderate,2033,13.5,2023
Biopower,Dedicated,Moderate,2027,13.5,2023
Biopower,Dedicated,Moderate,2028,13.5,2023
Biopower,Dedicated,Moderate,2029,13.5,2023
Biopower,Dedicated,Moderate,2030,13.5,2023
Biopower,Dedicated,Conservative,2038,13.5,2023
Biopower,Dedicated,Conservative,2043,13.5,2023
Biopower,Dedicated,Conservative,2049,13.5,2023
Biopower,Dedicated,Conservative,2048,13.5,2023
Biopower,Dedicated,Conservative,2044,13.5,2023
Biopower,Dedicated,Moderate,2031,13.5,2023
Biopower,Dedicated,Conservative,2041,13.5,2023
Biopower,Dedicated,Conservative,2040,13.5,2023
Biopower,Dedicated,Conservative,2039,13.5,2023
Biopower,Dedicated,Conservative,2050,13.5,2023
Biopower,Dedicated,Conservative,2042,13.5,2023
Biopower,Dedicated,Advanced,2026,13.5,2023
Biopower,Dedicated,Advanced,2024,13.5,2023
Biopower,Dedicated,Advanced,2023,13.5,2023
Biopower,Dedicated,Advanced,2022,13.5,2023
Biopower,Dedicated,Advanced,2021,13.5,2023
Biopower,Dedicated,Advanced,2025,13.5,2023
Biopower,Dedicated,Advanced,2028,13.5,2023
Coal_Retrofits,95%-CCS,Conservative,2032,11.793,2023
Coal_Retrofits,95%-CCS,Moderate,2022,11.793,2023
Coal_Retrofits,95%-CCS,Advanced,2022,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2034,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2031,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2030,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2029,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2028,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2035,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2027,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2026,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2036,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2025,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2024,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2023,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2022,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2021,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2037,11.793,2023
Coal_Retrofits,95%-CCS,Moderate,2021,11.793,2023
Coal_Retrofits,95%-CCS,Advanced,2021,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2038,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2039,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2040,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2041,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2042,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2043,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2044,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2045,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2046,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2047,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2033,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2049,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2050,11.793,2023
Coal_Retrofits,95%-CCS,Conservative,2048,11.793,2023
Coal_Retrofits,95%-CCS,Moderate,2023,11.762,2023
Coal_Retrofits,95%-CCS,Moderate,2024,11.731,2023
Coal_Retrofits,95%-CCS,Advanced,2023,11.731,2023
Coal_Retrofits,95%-CCS,Moderate,2025,11.7,2023
Coal_Retrofits,95%-CCS,Moderate,2026,11.67,2023
Coal_Retrofits,95%-CCS,Advanced,2024,11.67,2023
Coal_Retrofits,95%-CCS,Moderate,2027,11.639,2023
Coal_Retrofits,90%-CCS,Advanced,2022,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2024,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2023,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2040,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2039,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2022,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2021,11.612,2023
Coal_Retrofits,90%-CCS,Moderate,2022,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2025,11.612,2023
Coal_Retrofits,90%-CCS,Advanced,2021,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2038,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2037,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2036,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2035,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2034,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2041,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2026,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2032,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2027,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2028,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2029,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2042,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2043,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2044,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2045,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2046,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2047,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2048,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2049,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2050,11.612,2023
Coal_Retrofits,90%-CCS,Moderate,2021,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2033,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2031,11.612,2023
Coal_Retrofits,90%-CCS,Conservative,2030,11.612,2023
Coal_Retrofits,95%-CCS,Moderate,2028,11.608,2023
Coal_Retrofits,95%-CCS,Advanced,2025,11.608,2023
Coal_Retrofits,90%-CCS,Moderate,2023,11.583,2023
Coal_Retrofits,95%-CCS,Moderate,2029,11.577,2023
Coal_Retrofits,90%-CCS,Advanced,2023,11.555,2023
Coal_Retrofits,90%-CCS,Moderate,2024,11.555,2023
Coal_Retrofits,95%-CCS,Moderate,2030,11.546,2023
Coal_Retrofits,95%-CCS,Advanced,2026,11.546,2023
Coal_Retrofits,90%-CCS,Moderate,2025,11.526,2023
Coal_Retrofits,95%-CCS,Moderate,2031,11.515,2023
Coal_Retrofits,90%-CCS,Advanced,2024,11.498,2023
Coal_Retrofits,90%-CCS,Moderate,2026,11.498,2023
Coal_Retrofits,95%-CCS,Moderate,2032,11.484,2023
Coal_Retrofits,95%-CCS,Advanced,2027,11.484,2023
Coal_Retrofits,90%-CCS,Moderate,2027,11.469,2023
Coal_Retrofits,95%-CCS,Moderate,2033,11.453,2023
Coal_Retrofits,90%-CCS,Advanced,2025,11.441,2023
Coal_Retrofits,90%-CCS,Moderate,2028,11.441,2023
Coal_Retrofits,95%-CCS,Moderate,2034,11.423,2023
Coal_Retrofits,95%-CCS,Advanced,2028,11.423,2023
Coal_Retrofits,90%-CCS,Moderate,2029,11.412,2023
Coal_Retrofits,95%-CCS,Moderate,2037,11.392,2023
Coal_Retrofits,95%-CCS,Moderate,2039,11.392,2023
Coal_Retrofits,95%-CCS,Moderate,2038,11.392,2023
Coal_Retrofits,95%-CCS,Moderate,2040,11.392,2023
Coal_Retrofits,95%-CCS,Moderate,2041,11.392,2023
Coal_Retrofits,95%-CCS,Moderate,2042,11.392,2023
Coal_Retrofits,95%-CCS,Moderate,2043,11.392,2023
Coal_Retrofits,95%-CCS,Moderate,2035,11.392,2023
Coal_Retrofits,95%-CCS,Moderate,2036,11.392,2023
Coal_Retrofits,95%-CCS,Moderate,2050,11.392,2023
Coal_Retrofits,95%-CCS,Moderate,2044,11.392,2023
Coal_Retrofits,95%-CCS,Moderate,2045,11.392,2023
Coal_Retrofits,95%-CCS,Moderate,2046,11.392,2023
Coal_Retrofits,95%-CCS,Moderate,2047,11.392,2023
Coal_Retrofits,95%-CCS,Moderate,2048,11.392,2023
Coal_Retrofits,95%-CCS,Moderate,2049,11.392,2023
Coal_Retrofits,90%-CCS,Moderate,2030,11.384,2023
Coal_Retrofits,90%-CCS,Advanced,2026,11.384,2023
Coal_Retrofits,95%-CCS,Advanced,2029,11.361,2023
Coal_Retrofits,90%-CCS,Moderate,2031,11.355,2023
Coal_Retrofits,90%-CCS,Advanced,2027,11.327,2023
Coal_Retrofits,90%-CCS,Moderate,2032,11.327,2023
Coal_Retrofits,95%-CCS,Advanced,2030,11.299,2023
Coal_Retrofits,90%-CCS,Moderate,2033,11.298,2023
Coal_Retrofits,90%-CCS,Advanced,2028,11.27,2023
Coal_Retrofits,90%-CCS,Moderate,2034,11.27,2023
Coal_Retrofits,90%-CCS,Moderate,2037,11.241,2023
Coal_Retrofits,90%-CCS,Moderate,2038,11.241,2023
Coal_Retrofits,90%-CCS,Moderate,2048,11.241,2023
Coal_Retrofits,90%-CCS,Moderate,2047,11.241,2023
Coal_Retrofits,90%-CCS,Moderate,2046,11.241,2023
Coal_Retrofits,90%-CCS,Moderate,2045,11.241,2023
Coal_Retrofits,90%-CCS,Moderate,2044,11.241,2023
Coal_Retrofits,90%-CCS,Moderate,2043,11.241,2023
Coal_Retrofits,90%-CCS,Moderate,2042,11.241,2023
Coal_Retrofits,90%-CCS,Moderate,2041,11.241,2023
Coal_Retrofits,90%-CCS,Moderate,2040,11.241,2023
Coal_Retrofits,90%-CCS,Moderate,2039,11.241,2023
Coal_Retrofits,90%-CCS,Moderate,2036,11.241,2023
Coal_Retrofits,90%-CCS,Moderate,2035,11.241,2023
Coal_Retrofits,90%-CCS,Moderate,2050,11.241,2023
Coal_Retrofits,90%-CCS,Moderate,2049,11.241,2023
Coal_Retrofits,95%-CCS,Advanced,2031,11.237,2023
Coal_Retrofits,90%-CCS,Advanced,2029,11.213,2023
Coal_Retrofits,95%-CCS,Advanced,2032,11.176,2023
Coal_Retrofits,90%-CCS,Advanced,2030,11.156,2023
Coal,99%-CCS,Conservative,2032,11.116,2023
Coal,99%-CCS,Conservative,2028,11.116,2023
Coal,99%-CCS,Conservative,2031,11.116,2023
Coal,99%-CCS,Conservative,2030,11.116,2023
Coal,99%-CCS,Conservative,2027,11.116,2023
Coal,99%-CCS,Conservative,2029,11.116,2023
Coal,99%-CCS,Conservative,2048,11.116,2023
Coal,99%-CCS,Conservative,2045,11.116,2023
Coal,99%-CCS,Conservative,2034,11.116,2023
Coal,99%-CCS,Conservative,2021,11.116,2023
Coal,99%-CCS,Conservative,2026,11.116,2023
Coal,99%-CCS,Conservative,2025,11.116,2023
Coal,99%-CCS,Conservative,2049,11.116,2023
Coal,99%-CCS,Conservative,2024,11.116,2023
Coal,99%-CCS,Conservative,2050,11.116,2023
Coal,99%-CCS,Conservative,2033,11.116,2023
Coal,99%-CCS,Conservative,2035,11.116,2023
Coal,99%-CCS,Moderate,2022,11.116,2023
Coal,99%-CCS,Conservative,2036,11.116,2023
Coal,99%-CCS,Conservative,2047,11.116,2023
Coal,99%-CCS,Conservative,2046,11.116,2023
Coal,99%-CCS,Conservative,2040,11.116,2023
Coal,99%-CCS,Conservative,2039,11.116,2023
Coal,99%-CCS,Conservative,2038,11.116,2023
