region_from,region_to,firm_ttc_mw,notes
p71,p72,1072.000000,
p71,p81,1654.240500,
p72,p73,1946.656500,
p72,p81,4118.763500,
p72,p84,1195.000000,
p73,p84,1680.339500,
p74,p75,629.269500,
p74,p103,154.113500,
p75,p76,3081.161000,
p75,p79,906.157500,
p76,p77,415.850000,
p76,p78,2052.480500,
p76,p79,1276.718500,
p77,p78,1332.311000,
p77,p80,33.065500,
p78,p79,795.313500,
p78,p80,2095.120500,
p79,p80,2760.342500,
p80,p81,2539.477000,
p80,p82,2755.104500,
p80,p83,2330.270000,
p80,p105,7447.943000,
p81,p82,3081.355500,
p81,p83,2399.179500,
p81,p93,1388.612000,
p81,p108,84.759000,
p82,p83,2085.386500,
p83,p105,3710.897500,
p83,p107,3771.159500,
p84,p85,2088.000000,
p84,p92,203.428500,
p85,p86,3464.000000,
p85,p87,689.522500,
p85,p92,4555.355000,
p86,p87,1732.000000,
p87,p88,2453.448000,
p87,p89,796.876500,
p87,p90,2545.328500,
p87,p92,690.770000,
p88,p89,5030.911500,
p88,p92,1732.100000,
p89,p90,4397.439000,
p89,p92,5035.838000,
p89,p94,744.262500,
p90,p91,2966.746500,
p90,p94,5448.546000,
p91,p94,428.921000,
p91,p101,417.119000,
p92,p93,1958.900000,
p92,p94,2837.546500,
p92,p97,1395.613500,
p92,p108,866.050000,
p92,p109,157.904000,
p92,p118,2327.760500,
p93,p108,1594.331500,
p93,p109,745.996000,
p94,p95,3689.955500,
p94,p96,2860.000000,
p94,p97,111.431000,
p94,p101,6224.958000,
p95,p96,1188.331000,
p95,p97,6066.588500,
p95,p98,0.000000,
p96,p98,2356.252500,
p97,p98,2642.381000,
p97,p99,54.500000,
p97,p118,1635.000000,
p98,p99,6001.293500,
p99,p100,5542.763500,
p99,p116,2598.000000,
p99,p118,3990.575000,
p99,p123,4011.560500,
p100,p116,5635.001500,
p101,p102,8878.840000,
p103,p104,3341.868500,
p103,p105,866.790500,
p103,p111,3872.158000,
p104,p105,4766.020500,
p105,p106,2045.657000,
p105,p107,7503.202000,
p105,p112,5046.796000,
p106,p107,2112.424000,
p107,p108,1327.000000,
p107,p109,4454.096000,
p107,p112,4047.000000,
p107,p114,1605.957000,
p108,p109,1134.000000,
p109,p110,166.285500,
p109,p112,1240.000000,
p109,p113,972.852000,
p109,p114,3069.111000,
p109,p118,504.000000,
p110,p112,1018.247500,
p110,p117,153.324000,
p110,p118,56.288500,
p111,p112,6071.635500,
p111,p115,3011.885000,
p111,p116,4842.758500,
p111,p122,2311.062500,
p112,p113,2507.504000,
p112,p114,2235.512000,
p112,p115,2642.000000,
p112,p116,6160.500500,
p112,p117,11073.125000,
p112,p118,4059.187500,
p113,p114,2258.135500,
p115,p116,7525.417000,
p115,p122,7735.247000,
p116,p117,4047.000000,
p116,p118,59.649500,
p116,p120,76.587500,
p116,p121,5491.347000,
p117,p118,4590.144000,
p119,p122,571.771500,
p120,p121,328.588000,
p120,p122,133.901000,
p121,p122,130.690000,
p121,p123,4249.632500,
p122,p123,7274.075500,
p122,p125,1029.492500,
p122,p126,10660.333000,
p122,p127,2397.016000,
p123,p124,336.204000,
p123,p125,2967.072500,
p125,p126,2701.000000,
p126,p127,4207.008000,
p127,p128,1022.925000,
p127,p129,607.979500,
p127,p131,1666.500000,
p127,p132,1195.000000,
p129,p130,1690.296000,
p129,p131,1305.638500,
p130,p131,1128.518000,
p130,p134,2361.392000,
p131,p132,2103.692500,
p131,p133,1161.780000,
p132,p133,55.742500,
p5,p10,2780.000000,Pacific DC Intertie
p10,p25,1920.000000,Intermountain Power Project (DC)
p20,p35,200.000000,Miles City Intertie (West-East)
p24,p39,310.000000,200 VS; 110 Segall
p31,p47,200.000000,Artesia Intertie (West-ERCOT)
p31,p48,200.000000,Blackwater Intertie (West-East)
p32,p38,200.000000,Rapid City Intertie (West-East)
p34,p52,210.000000,Lamar Intertie (West-East)
p37,p43,1500.000000,CU HVDC and Square Butte (DC)
p50,p60,220.000000,Oklaunion Intertie (ERCOT-East)
p57,p63,600.000000,Welsh Intertie (ERCOT-East)
