Resource,region,Min_Power,Self_Disch,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Existing_Charge_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Reg_Cost,Rsv_Cost,Start_Cost_per_MW,Max_Duration,Min_Duration
csp2_6,all,0.2,0,1,1,180,180,,,0,-1,-1,-1,0,0,,10,10
csp2_7,all,0.2,0,1,1,180,180,,,0,-1,-1,-1,0,0,,10,10
csp2_8,all,0.2,0,1,1,180,180,,,0,-1,-1,-1,0,0,,10,10
csp2_9,all,0.2,0,1,1,180,180,,,0,-1,-1,-1,0,0,,10,10
egs_nearfield_1,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
egs_nearfield_2,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
egs_nearfield_3,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
egs_nearfield_4,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
egs_nearfield_5,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
egs_nearfield_6,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
egs_nearfield_7,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
egs_nearfield_8,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
egs_nearfield_9,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
natural gas fired combined cycle,all,0.5,0,1,1,3,3,6,8,0,-1,-1,-1,0,0,79,,
gas-cc,all,0.5,0,1,1,3,3,6,8,0,-1,-1,-1,0,0,79,,
gas-cc-ccs,all,0.5,0,1,1,3,3,6,8,0,-1,-1,-1,0,0,79,,
gas-cc-ccs_max,all,0.5,0,1,1,3,3,6,8,0,-1,-1,-1,0,0,79,,
gas-cc-ccs_mod,all,0.5,0,1,1,3,3,6,8,0,-1,-1,-1,0,0,79,,
gas-cc-nsp,all,0.5,0,1,1,3,3,6,8,0,-1,-1,-1,0,0,79,,
gas-cc_gas-cc-ccs,all,0.5,0,1,1,3,3,6,8,0,-1,-1,-1,0,0,79,,
gas-cc_gas-cc-ccs_max,all,0.5,0,1,1,3,3,6,8,0,-1,-1,-1,0,0,79,,
gas-cc_gas-cc-ccs_mod,all,0.5,0,1,1,3,3,6,8,0,-1,-1,-1,0,0,79,,
gas-cc_h2-ct,all,0.6,0,1,1,4.8,4.8,0,0,0,-1,-1,-1,0,0,69,,
gas-cc_re-cc,all,0.5,0,1,1,3,3,6,8,0,-1,-1,-1,0,0,79,,
natural gas fired combustion turbine,all,0.6,0,1,1,4.8,4.8,0,0,0,-1,-1,-1,0,0,69,,
gas-ct,all,0.6,0,1,1,4.8,4.8,0,0,0,-1,-1,-1,0,0,69,,
gas-ct-nsp,all,0.6,0,1,1,4.8,4.8,0,0,0,-1,-1,-1,0,0,69,,
gas-ct_h2-ct,all,0.6,0,1,1,4.8,4.8,0,0,0,-1,-1,-1,0,0,69,,
gas-ct_re-ct,all,0.6,0,1,1,4.8,4.8,0,0,0,-1,-1,-1,0,0,69,,
geohydro_allkm_1,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
geohydro_allkm_2,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
geohydro_allkm_3,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
geohydro_allkm_4,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
geohydro_allkm_5,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
geohydro_allkm_6,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
geohydro_allkm_7,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
geohydro_allkm_8,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
geohydro_allkm_9,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
geothermal,all,0.5,0,1,1,2.0547945,2.0547945,16,6,0,-1,-1,-1,0,0,0,,
h2-cc,all,0.5,0,1,1,3,3,6,8,0,-1,-1,-1,0,0,79,,
