region,planning_year,value
NPCC-New York,2050,0.15
NPCC-Ontario,2026,0.161
NPCC-Ontario,2027,0.19
NPCC-Ontario,2028,0.226
NPCC-Ontario,2029,0.158
NPCC-Ontario,2030,0.195
NPCC-Ontario,2031,0.139
NPCC-Ontario,2032,0.147
NPCC-Ontario,2033,0.096
NPCC-Ontario,2034,0.143
NPCC-Ontario,2035,0.132
NPCC-Ontario,2036,0.132
NPCC-Ontario,2037,0.132
NPCC-Ontario,2038,0.132
NPCC-Ontario,2039,0.132
NPCC-Ontario,2040,0.132
NPCC-Ontario,2041,0.132
NPCC-Ontario,2042,0.132
NPCC-Ontario,2043,0.132
NPCC-Ontario,2044,0.132
NPCC-Ontario,2045,0.132
NPCC-Ontario,2046,0.132
NPCC-Ontario,2047,0.132
NPCC-Ontario,2048,0.132
NPCC-Ontario,2049,0.132
NPCC-Ontario,2050,0.132
NPCC-Québec,2026,0.119
NPCC-Québec,2027,0.122
NPCC-Québec,2028,0.122
NPCC-Québec,2029,0.122
NPCC-Québec,2030,0.122
NPCC-Québec,2031,0.122
NPCC-Québec,2032,0.122
NPCC-Québec,2033,0.122
NPCC-Québec,2034,0.122
NPCC-Québec,2035,0.122
NPCC-Québec,2036,0.122
NPCC-Québec,2037,0.122
NPCC-Québec,2038,0.122
NPCC-Québec,2039,0.122
NPCC-Québec,2040,0.122
NPCC-Québec,2041,0.122
NPCC-Québec,2042,0.122
NPCC-Québec,2043,0.122
NPCC-Québec,2044,0.122
NPCC-Québec,2045,0.122
NPCC-Québec,2046,0.122
NPCC-Québec,2047,0.122
NPCC-Québec,2048,0.122
NPCC-Québec,2049,0.122
NPCC-Québec,2050,0.122
PJM,2026,0.186
PJM,2027,0.201
PJM,2028,0.219
PJM,2029,0.239
PJM,2030,0.263
PJM,2031,0.289
PJM,2032,0.308
PJM,2033,0.33
PJM,2034,0.351
PJM,2035,0.351
PJM,2036,0.351
PJM,2037,0.351
PJM,2038,0.351
PJM,2039,0.351
PJM,2040,0.351
PJM,2041,0.351
PJM,2042,0.351
PJM,2043,0.351
PJM,2044,0.351
PJM,2045,0.351
PJM,2046,0.351
PJM,2047,0.351
PJM,2048,0.351
PJM,2049,0.351
PJM,2050,0.351
SERC-Central,2026,0.15
SERC-Central,2027,0.15
SERC-Central,2028,0.15
SERC-Central,2029,0.15
SERC-Central,2030,0.15
SERC-Central,2031,0.15
SERC-Central,2032,0.15
SERC-Central,2033,0.15
SERC-Central,2034,0.15
SERC-Central,2035,0.15
SERC-Central,2036,0.15
SERC-Central,2037,0.15
SERC-Central,2038,0.15
SERC-Central,2039,0.15
SERC-Central,2040,0.15
SERC-Central,2041,0.15
SERC-Central,2042,0.15
SERC-Central,2043,0.15
SERC-Central,2044,0.15
SERC-Central,2045,0.15
SERC-Central,2046,0.15
SERC-Central,2047,0.15
SERC-Central,2048,0.15
SERC-Central,2049,0.15
SERC-Central,2050,0.15
SERC-East,2026,0.15
SERC-East,2027,0.15
SERC-East,2028,0.15
SERC-East,2029,0.15
SERC-East,2030,0.15
SERC-East,2031,0.15
SERC-East,2032,0.15
SERC-East,2033,0.15
SERC-East,2034,0.15
SERC-East,2035,0.15
SERC-East,2036,0.15
SERC-East,2037,0.15
SERC-East,2038,0.15
SERC-East,2039,0.15
SERC-East,2040,0.15
SERC-East,2041,0.15
SERC-East,2042,0.15
SERC-East,2043,0.15
SERC-East,2044,0.15
SERC-East,2045,0.15
SERC-East,2046,0.15
SERC-East,2047,0.15
SERC-East,2048,0.15
SERC-East,2049,0.15
SERC-East,2050,0.15
SERC-Florida Peninsula,2026,0.15
SERC-Florida Peninsula,2027,0.15
SERC-Florida Peninsula,2028,0.15
SERC-Florida Peninsula,2029,0.15
SERC-Florida Peninsula,2030,0.15
SERC-Florida Peninsula,2031,0.15
SERC-Florida Peninsula,2032,0.15
SERC-Florida Peninsula,2033,0.15
SERC-Florida Peninsula,2034,0.15
SERC-Florida Peninsula,2035,0.15
SERC-Florida Peninsula,2036,0.15
SERC-Florida Peninsula,2037,0.15
SERC-Florida Peninsula,2038,0.15
SERC-Florida Peninsula,2039,0.15
SERC-Florida Peninsula,2040,0.15
SERC-Florida Peninsula,2041,0.15
SERC-Florida Peninsula,2042,0.15
SERC-Florida Peninsula,2043,0.15
SERC-Florida Peninsula,2044,0.15
SERC-Florida Peninsula,2045,0.15
SERC-Florida Peninsula,2046,0.15
SERC-Florida Peninsula,2047,0.15
SERC-Florida Peninsula,2048,0.15
SERC-Florida Peninsula,2049,0.15
SERC-Florida Peninsula,2050,0.15
SERC-Southeast,2026,0.15
SERC-Southeast,2027,0.15
SERC-Southeast,2028,0.15
SERC-Southeast,2029,0.15
SERC-Southeast,2030,0.15
SERC-Southeast,2031,0.15
SERC-Southeast,2032,0.15
SERC-Southeast,2033,0.15
SERC-Southeast,2034,0.15
SERC-Southeast,2035,0.15
SERC-Southeast,2036,0.15
SERC-Southeast,2037,0.15
SERC-Southeast,2038,0.15
SERC-Southeast,2039,0.15
SERC-Southeast,2040,0.15
SERC-Southeast,2041,0.15
SERC-Southeast,2042,0.15
SERC-Southeast,2043,0.15
SERC-Southeast,2044,0.15
SERC-Southeast,2045,0.15
SERC-Southeast,2046,0.15
SERC-Southeast,2047,0.15
SERC-Southeast,2048,0.15
SERC-Southeast,2049,0.15
