year,price,data_year,scenario,fuel,region,dollar_year
2024,2.11569,2025,no_111d,coal,p1,2024
2025,2.07853,2025,no_111d,coal,p1,2024
2026,1.79151,2025,no_111d,coal,p1,2024
2027,1.72731,2025,no_111d,coal,p1,2024
2028,1.67721,2025,no_111d,coal,p1,2024
2029,1.86157,2025,no_111d,coal,p1,2024
2030,1.68608,2025,no_111d,coal,p1,2024
2031,1.73635,2025,no_111d,coal,p1,2024
2032,1.664,2025,no_111d,coal,p1,2024
2033,1.6816,2025,no_111d,coal,p1,2024
2034,1.76521,2025,no_111d,coal,p1,2024
2035,1.76854,2025,no_111d,coal,p1,2024
2036,1.78988,2025,no_111d,coal,p1,2024
2037,1.78879,2025,no_111d,coal,p1,2024
2038,1.68144,2025,no_111d,coal,p1,2024
2039,1.67483,2025,no_111d,coal,p1,2024
2040,1.7014,2025,no_111d,coal,p1,2024
2041,1.72733,2025,no_111d,coal,p1,2024
2042,1.73363,2025,no_111d,coal,p1,2024
2043,1.74469,2025,no_111d,coal,p1,2024
2044,1.7495,2025,no_111d,coal,p1,2024
2045,1.76879,2025,no_111d,coal,p1,2024
2046,1.78708,2025,no_111d,coal,p1,2024
2047,2.12176,2025,no_111d,coal,p1,2024
2048,2.35277,2025,no_111d,coal,p1,2024
2049,2.58854,2025,no_111d,coal,p1,2024
2050,2.1342,2025,no_111d,coal,p1,2024
2024,2.12827,2025,reference,coal,p1,2024
2025,2.0943,2025,reference,coal,p1,2024
2026,1.81578,2025,reference,coal,p1,2024
2027,1.73953,2025,reference,coal,p1,2024
2028,1.69259,2025,reference,coal,p1,2024
2029,1.89301,2025,reference,coal,p1,2024
2030,1.872,2025,reference,coal,p1,2024
2031,1.93797,2025,reference,coal,p1,2024
2032,1.69305,2025,reference,coal,p1,2024
2033,1.65468,2025,reference,coal,p1,2024
2034,1.6611,2025,reference,coal,p1,2024
2035,1.66832,2025,reference,coal,p1,2024
2036,1.70555,2025,reference,coal,p1,2024
2037,1.70828,2025,reference,coal,p1,2024
2038,1.63053,2025,reference,coal,p1,2024
2039,1.62815,2025,reference,coal,p1,2024
2040,1.63893,2025,reference,coal,p1,2024
