ba,nercr,transreg,transgrp,cendiv,st,interconnect,st_interconnect,country,usda_region,h2ptcreg,hurdlereg,aggreg
p35,SPP,SPP,SPP_North,West_North_Central,MT,eastern,MT_eastern,USA,mountain,Mountain,SPP,p35
p36,SPP,SPP,SPP_North,West_North_Central,ND,eastern,ND,USA,northern-plains,Plains,SPP,p36
p37,MISO,MISO,MISO_North,West_North_Central,ND,eastern,ND,USA,northern-plains,Plains,MISO,p37
p38,SPP,SPP,SPP_North,West_North_Central,SD,eastern,SD_eastern,USA,northern-plains,Plains,SPP,p38
p39,SPP,SPP,SPP_North,West_North_Central,NE,eastern,NE,USA,northern-plains,Plains,SPP,p39
p40,SPP,SPP,SPP_North,West_North_Central,NE,eastern,NE,USA,northern-plains,Plains,SPP,p40
p41,SPP,SPP,SPP_North,West_North_Central,NE,eastern,NE,USA,northern-plains,Plains,SPP,p41
p42,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,Midwest,MISO,p42
p43,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,Midwest,MISO,p43
p44,MISO,MISO,MISO_North,West_North_Central,MN,eastern,MN,USA,lake-states,Midwest,MISO,p44
p45,MISO,MISO,MISO_North,West_North_Central,IA,eastern,IA,USA,corn-belt,Midwest,MISO,p45
p46,MISO,MISO,MISO_North,East_North_Central,WI,eastern,WI,USA,lake-states,Midwest,MISO,p46
p47,SPP,SPP,SPP_South,West_South_Central,NM,eastern,NM_eastern,USA,mountain,Southwest,SPP,p47
p48,SPP,SPP,SPP_South,West_South_Central,TX,eastern,TX_eastern,USA,southern-plains,Texas,SPP,p48
p49,SPP,SPP,SPP_South,West_South_Central,OK,eastern,OK,USA,southern-plains,Plains,SPP,p49
p50,SPP,SPP,SPP_South,West_South_Central,OK,eastern,OK,USA,southern-plains,Plains,SPP,p50
p51,SPP,SPP,SPP_South,West_South_Central,OK,eastern,OK,USA,southern-plains,Plains,SPP,p51
p52,SPP,SPP,SPP_South,West_North_Central,KS,eastern,KS,USA,northern-plains,Plains,SPP,p52
p53,SPP,SPP,SPP_South,West_North_Central,KS,eastern,KS,USA,northern-plains,Plains,SPP,p53
p54,SPP,SPP,SPP_South,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,SPP,p54
p55,SPP,SPP,SPP_South,West_North_Central,MO,eastern,MO,USA,corn-belt,Midwest,SPP,p55
