p99,p133,p128,p131
983,696,983,983
983,461,931,983
983,340,710,983
983,339,663,983
983,267,424,983
914,375,524,983
815,339,489,983
753,301,580,818
701,367,613,843
780,327,579,983
757,495,701,983
618,387,407,905
510,441,338,817
437,155,186,419
416,71,137,371
325,114,128,278
199,63,84,189
312,54,66,112
252,12,47,53
297,4,27,17
201,0,9,0
274,0,0,0
341,0,0,0
367,31,3,0
529,72,56,0
548,134,101,35
499,196,136,76
452,273,267,147
202,383,336,235
95,418,384,354
121,539,499,372
19,798,692,603
131,819,735,623
127,983,983,758
138,983,983,983
165,573,400,632
223,154,300,584
194,143,327,458
203,126,139,859
187,189,584,983
152,268,277,983
214,72,209,983
238,22,25,516
279,132,40,154
454,162,194,98
820,269,222,111
983,522,262,234
983,594,613,496
983,519,730,983
983,677,869,869
983,798,980,968
983,983,983,676
983,983,983,983
983,983,983,983
978,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
906,983,983,983
847,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
977,983,983,983
932,983,983,983
905,983,983,983
704,983,983,983
685,983,983,983
668,983,983,983
650,983,983,983
521,983,983,983
380,983,983,983
203,905,983,983
116,686,983,983
69,450,927,983
32,482,807,983
14,390,613,840
14,235,408,589
0,222,324,544
0,213,289,603
0,216,238,614
0,162,224,614
0,144,174,547
0,81,129,497
0,50,92,366
0,0,61,318
0,0,0,209
0,0,0,121
0,0,0,54
23,0,0,19
78,0,0,0
125,0,0,0
117,0,15,0
319,40,39,0
239,64,75,0
142,128,131,32
132,190,198,34
205,202,260,93
108,219,330,84
142,299,385,92
137,521,359,96
112,525,412,132
59,415,358,74
63,383,232,111
63,326,402,62
110,335,426,51
51,405,395,0
117,310,372,109
131,200,377,282
119,136,341,296
81,149,232,266
270,119,214,315
241,142,212,339
182,171,231,141
245,210,272,239
573,198,289,338
842,234,296,428
983,351,368,526
940,405,449,633
983,483,470,536
983,408,527,580
983,437,471,398
928,355,432,373
928,316,460,363
851,264,481,314
793,250,468,266
638,269,417,282
614,299,380,281
438,377,371,347
274,336,447,438
212,279,442,386
242,343,334,357
155,380,428,362
145,287,481,461
304,314,394,374
171,354,298,312
122,541,337,351
198,538,334,337
161,464,304,213
82,316,312,131
322,263,319,125
289,117,128,189
214,57,89,128
206,243,37,149
169,298,68,222
190,301,75,98
173,261,49,84
128,186,82,84
77,131,102,136
129,90,130,173
128,99,135,111
192,167,139,163
206,196,224,124
237,250,231,201
193,242,137,212
